image_path,status,reason
Love_Bone_Bed/LBB-UF-38208-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38213-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38215-LL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38215-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38216-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38218-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38220-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38221-LL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38223-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38224-LL.jpg,exclude,not an occlusal view
Love_Bone_Bed/LBB-UF-38226-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38228-RL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38241-LL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38249-LL_occlusal.jpg,include,occlusal crown visible
Love_Bone_Bed/LBB-UF-38249-RL_occlusal.jpg,include,occlusal crown visible
Mixsons_Bone_Bed/Mixson_USNM-3082_occlusal.jpg,include,occlusal crown visible
Mixsons_Bone_Bed/Mixson_USNM-3083_occlusal.jpg,include,occlusal crown visible
Tyner_Farm/Tyner_UF-212304_LL_occlusal.jpg,include,occlusal crown visible
Tyner_Farm/Tyner_UF-212304-RL_occlusal.jpg,include,occlusal crown visible
Tyner_Farm/Tyner_UF-217472-LL_occlusal.jpg,include,occlusal crown visible
Tyner_Farm/Tyner_UF-217472-RL_occlusal.jpg,include,occlusal crown visible
